Date,Open,High,Low,Close,Volume,Adj. Close*
20-Apr-34,105.52,107.00,105.08,106.55,18900,106.55
19-Apr-34,105.45,106.18,104.34,105.52,13300,105.52
18-Apr-34,104.58,106.26,104.58,105.45,15400,105.45
17-Apr-34,103.57,104.82,103.34,104.46,9400,104.46
16-Apr-34,105.04,105.31,102.88,103.57,12900,103.57
13-Apr-34,104.80,105.72,104.42,104.98,11800,104.98
12-Apr-34,105.16,105.82,104.30,104.80,13300,104.80
11-Apr-34,105.05,106.23,104.64,105.16,15500,105.16
10-Apr-34,103.95,105.51,103.95,105.05,14100,105.05
9-Apr-34,103.60,104.07,102.92,103.54,8500,103.54
6-Apr-34,103.37,104.30,102.86,103.97,10100,103.97
5-Apr-34,103.19,104.09,102.47,103.37,14200,103.37
4-Apr-34,102.74,103.91,102.21,103.19,15600,103.19
3-Apr-34,101.96,103.00,101.18,102.74,13400,102.74
2-Apr-34,101.85,102.82,101.41,101.96,13700,101.96
29-Mar-34,99.18,100.83,99.18,100.31,10200,100.31
28-Mar-34,98.76,99.84,98.60,99.02,8400,99.02
27-Mar-34,99.32,99.32,97.41,98.76,15900,98.76
26-Mar-34,100.92,102.67,100.70,100.95,12800,100.95
23-Mar-34,100.53,100.53,99.47,99.80,7600,99.80
22-Mar-34,99.33,100.94,98.87,100.54,10300,100.54
21-Mar-34,100.73,100.73,98.45,99.33,10700,99.33
20-Mar-34,99.68,101.82,98.75,101.01,15400,101.01
19-Mar-34,101.04,101.04,98.99,99.68,15100,99.68
16-Mar-34,102.21,103.26,101.46,102.72,11700,102.72
15-Mar-34,103.54,103.73,101.43,102.21,13400,102.21
14-Mar-34,104.00,104.69,103.31,103.54,13600,103.54
13-Mar-34,104.23,104.89,103.54,104.00,12800,104.00
12-Mar-34,102.77,104.61,102.66,104.23,12600,104.23
9-Mar-34,103.21,103.91,102.13,102.44,13700,102.44
8-Mar-34,101.59,103.44,100.78,103.21,17000,103.21
7-Mar-34,103.84,104.59,101.12,101.59,17300,101.59
6-Mar-34,104.94,104.94,103.40,103.84,8100,103.84
5-Mar-34,105.56,105.89,103.79,105.02,9500,105.02
2-Mar-34,103.74,105.99,103.74,105.79,14800,105.79
1-Mar-34,103.46,103.81,101.93,103.18,12400,103.18
28-Feb-34,103.67,105.37,103.09,103.46,13200,103.46
27-Feb-34,103.12,104.55,102.63,103.67,12700,103.67
26-Feb-34,104.49,104.49,102.21,103.12,21900,103.12
23-Feb-34,108.50,109.36,105.72,106.14,22900,106.14
21-Feb-34,108.14,109.39,107.55,108.50,19000,108.50
20-Feb-34,107.53,108.68,107.24,108.14,12200,108.14
19-Feb-34,109.07,109.57,107.04,107.53,23500,107.53
16-Feb-34,108.30,109.96,107.60,108.61,27700,108.61
15-Feb-34,106.92,109.04,106.92,108.30,29800,108.30
14-Feb-34,106.10,107.21,104.64,106.78,19400,106.78
13-Feb-34,105.47,107.35,104.78,106.10,20600,106.10
9-Feb-34,108.45,108.76,104.29,106.09,33400,106.09
8-Feb-34,107.95,109.09,106.05,108.45,32000,108.45
7-Feb-34,110.20,110.20,106.53,107.95,45000,107.95
6-Feb-34,110.74,111.25,108.88,110.24,43300,110.24
5-Feb-34,109.50,111.93,109.50,110.74,49400,110.74
2-Feb-34,108.95,109.69,107.67,108.31,28700,108.31
1-Feb-34,107.94,110.35,107.94,108.95,47100,108.95
31-Jan-34,108.99,109.17,106.81,107.22,31100,107.22
30-Jan-34,107.91,110.06,107.91,108.99,42400,108.99
29-Jan-34,106.11,108.42,106.11,107.90,27800,107.90
26-Jan-34,106.85,107.93,105.85,106.38,25100,106.38
25-Jan-34,107.02,107.52,105.44,106.85,22700,106.85
24-Jan-34,106.62,108.20,106.26,107.02,33700,107.02
23-Jan-34,105.09,107.00,104.47,106.62,23800,106.62
22-Jan-34,105.52,106.92,104.34,105.09,26600,105.09
19-Jan-34,103.46,106.19,103.46,105.60,35400,105.60
18-Jan-34,103.50,104.48,102.50,103.30,21300,103.30
17-Jan-34,103.40,104.87,102.38,103.50,28500,103.50
16-Jan-34,103.19,104.60,102.66,103.40,34400,103.40
15-Jan-34,99.50,103.48,99.50,103.19,37400,103.19
12-Jan-34,99.38,99.98,98.24,98.73,16000,98.73
11-Jan-34,99.77,100.49,98.77,99.38,17000,99.38
10-Jan-34,97.78,99.99,97.78,99.77,14200,99.77
9-Jan-34,97.09,98.53,97.09,97.57,8700,97.57
8-Jan-34,96.94,97.93,96.26,96.73,7200,96.73
5-Jan-34,98.78,99.39,96.97,97.23,10600,97.23
4-Jan-34,99.09,99.13,96.48,98.78,11900,98.78
3-Jan-34,100.36,100.83,97.75,99.09,13800,99.09
2-Jan-34,99.90,101.94,99.61,100.36,12700,100.36
29-Dec-1933,99.29,99.73,97.85,98.67,11300,98.67
28-Dec-1933,97.16,100.04,97.16,99.29,14800,99.29
27-Dec-1933,96.30,98.21,95.16,96.80,30800,96.80
26-Dec-1933,97.76,97.76,95.56,96.30,13000,96.30
22-Dec-1933,95.93,99.90,95.93,98.87,24200,98.87
21-Dec-1933,95.28,96.16,94.78,95.50,10200,95.50
20-Dec-1933,97.25,97.96,93.70,95.28,21600,95.28
19-Dec-1933,97.20,97.99,96.30,97.25,10300,97.25
18-Dec-1933,98.06,98.42,95.77,97.20,13400,97.20
15-Dec-1933,101.44,101.67,99.44,99.95,11700,99.95
14-Dec-1933,100.69,102.92,100.58,101.44,15600,101.44
13-Dec-1933,101.64,101.98,99.94,100.69,13300,100.69
12-Dec-1933,101.94,103.03,101.06,101.64,16500,101.64
11-Dec-1933,102.92,103.97,101.63,101.94,24500,101.94
8-Dec-1933,102.04,102.47,100.30,101.04,13300,101.04
7-Dec-1933,101.28,103.01,101.07,102.04,16800,102.04
6-Dec-1933,101.99,102.72,100.70,101.28,14400,101.28
5-Dec-1933,99.20,102.44,99.20,101.99,20200,101.99
4-Dec-1933,99.07,99.41,98.19,98.89,6700,98.89
1-Dec-1933,98.41,100.08,98.41,98.89,8100,98.89
29-Nov-1933,96.57,98.51,96.57,98.14,7500,98.14
28-Nov-1933,95.77,97.79,95.59,96.23,10100,96.23
27-Nov-1933,99.28,99.45,95.32,95.77,15600,95.77
24-Nov-1933,98.59,100.81,98.09,99.52,14200,99.52
23-Nov-1933,100.07,100.29,97.20,98.59,13700,98.59
22-Nov-1933,100.29,101.61,98.80,100.07,15700,100.07
21-Nov-1933,101.28,101.94,99.67,100.29,18000,100.29
20-Nov-1933,98.67,101.83,98.52,101.28,19000,101.28
17-Nov-1933,99.01,100.59,97.54,98.09,23200,98.09
16-Nov-1933,94.36,99.34,94.12,99.01,25800,99.01
15-Nov-1933,95.50,96.35,93.27,94.36,13500,94.36
14-Nov-1933,95.98,98.26,94.73,95.50,21700,95.50
13-Nov-1933,96.10,97.15,95.25,95.98,10900,95.98
10-Nov-1933,96.40,97.21,94.60,95.06,13700,95.06
9-Nov-1933,95.54,98.34,95.46,96.40,29000,96.40
8-Nov-1933,92.50,96.05,91.82,95.54,18000,95.54
6-Nov-1933,93.09,93.14,91.67,92.50,6900,92.50
3-Nov-1933,90.54,93.92,89.96,93.60,15000,93.60
2-Nov-1933,89.62,91.38,89.17,90.54,11200,90.54
1-Nov-1933,88.16,89.92,86.83,89.62,11400,89.62
31-Oct-1933,88.43,89.44,86.50,88.16,11300,88.16
30-Oct-1933,92.01,93.99,88.05,88.43,14700,88.43
27-Oct-1933,92.02,94.11,90.83,93.22,11100,93.22
26-Oct-1933,93.54,93.95,91.29,92.02,12200,92.02
25-Oct-1933,91.35,95.23,91.23,93.54,28800,93.54
24-Oct-1933,88.13,91.67,87.10,91.35,21100,91.35
23-Oct-1933,86.25,90.54,86.25,88.13,21300,88.13
20-Oct-1933,84.38,88.41,83.57,86.63,27000,86.63
19-Oct-1933,88.62,88.62,84.26,84.38,29000,84.38
18-Oct-1933,92.67,92.72,88.47,88.95,17300,88.95
17-Oct-1933,90.49,93.47,88.69,92.67,24800,92.67
16-Oct-1933,94.93,94.93,89.35,90.49,26700,90.49
13-Oct-1933,98.77,98.77,95.14,95.36,12700,95.36
11-Oct-1933,98.77,99.94,97.54,98.85,10300,98.85
10-Oct-1933,99.72,100.20,98.05,98.77,11400,98.77
9-Oct-1933,98.20,100.58,98.14,99.72,12500,99.72
6-Oct-1933,98.05,99.18,95.92,97.54,14600,97.54
5-Oct-1933,98.60,99.34,96.95,98.05,16600,98.05
4-Oct-1933,94.89,99.21,94.89,98.60,21400,98.60
3-Oct-1933,92.99,94.43,91.93,93.55,9300,93.55
2-Oct-1933,94.82,95.32,92.69,92.99,9600,92.99
29-Sep-1933,94.66,97.21,93.94,94.24,16400,94.24
28-Sep-1933,93.18,95.30,92.89,94.66,14400,94.66
27-Sep-1933,96.91,96.91,92.44,93.18,23200,93.18
26-Sep-1933,98.03,100.23,96.84,97.41,14300,97.41
25-Sep-1933,99.34,99.34,96.46,98.03,13100,98.03
22-Sep-1933,97.56,99.93,95.73,99.06,33200,99.06
21-Sep-1933,102.29,102.29,97.15,97.56,36500,97.56
20-Sep-1933,105.71,105.71,102.26,103.99,24200,103.99
19-Sep-1933,105.30,106.25,102.44,105.74,28200,105.74
18-Sep-1933,105.32,107.68,104.36,105.30,27200,105.30
15-Sep-1933,104.66,106.14,102.14,102.63,24500,102.63
14-Sep-1933,103.81,106.53,103.81,104.66,29000,104.66
13-Sep-1933,102.90,104.13,102.90,103.65,7400,103.65
12-Sep-1933,103.59,104.90,102.33,102.84,22400,102.84
11-Sep-1933,99.42,103.74,99.26,103.59,19200,103.59
8-Sep-1933,99.20,100.41,98.16,99.58,13000,99.58
7-Sep-1933,100.33,101.12,98.82,99.20,10700,99.20
6-Sep-1933,100.22,100.90,97.74,100.33,18900,100.33
5-Sep-1933,103.34,103.34,99.80,100.22,12500,100.22
1-Sep-1933,102.41,103.89,101.86,103.66,12200,103.66
31-Aug-1933,102.35,103.31,101.48,102.41,11400,102.41
30-Aug-1933,103.59,104.13,100.38,102.35,21700,102.35
29-Aug-1933,104.72,105.39,100.23,103.59,31200,103.59
28-Aug-1933,105.07,105.53,103.02,104.72,21200,104.72
25-Aug-1933,102.84,105.60,102.84,105.07,33300,105.07
24-Aug-1933,100.38,102.77,99.52,101.41,17300,101.41
23-Aug-1933,101.34,102.75,99.58,100.38,25800,100.38
22-Aug-1933,100.17,101.71,99.02,101.34,19600,101.34
21-Aug-1933,98.57,100.86,98.57,100.17,15600,100.17
18-Aug-1933,99.30,100.77,96.81,98.32,20900,98.32
17-Aug-1933,94.44,99.49,93.59,99.30,24700,99.30
16-Aug-1933,96.28,96.28,92.95,94.44,18000,94.44
15-Aug-1933,96.53,97.53,95.72,96.63,9100,96.63
14-Aug-1933,97.40,97.40,94.63,96.53,12200,96.53
11-Aug-1933,97.58,98.68,96.28,97.47,13400,97.47
10-Aug-1933,99.06,100.14,96.48,97.58,28200,97.58
9-Aug-1933,96.17,99.39,96.17,99.06,25600,99.06
8-Aug-1933,93.16,96.10,93.16,95.84,12300,95.84
7-Aug-1933,92.62,93.32,91.63,92.55,7700,92.55
4-Aug-1933,93.45,93.45,92.03,92.62,5000,92.62
3-Aug-1933,94.84,95.86,93.21,94.10,15100,94.10
2-Aug-1933,92.70,95.27,91.97,94.84,17300,94.84
1-Aug-1933,90.77,93.23,89.61,92.70,17800,92.70
31-Jul-1933,94.18,94.18,87.75,90.77,30900,90.77
28-Jul-1933,95.90,95.90,93.75,94.54,13900,94.54
27-Jul-1933,95.05,97.28,94.12,96.03,24600,96.03
26-Jul-1933,92.83,95.50,92.23,95.05,20400,95.05
25-Jul-1933,94.28,96.27,91.77,92.83,35400,92.83
24-Jul-1933,90.63,94.75,90.63,94.28,34200,94.28
21-Jul-1933,96.26,98.69,84.45,88.71,95700,88.71
20-Jul-1933,103.58,105.65,94.76,96.26,81200,96.26
19-Jul-1933,108.67,109.23,102.32,103.58,74500,103.58
18-Jul-1933,108.27,110.53,106.98,108.67,65900,108.67
17-Jul-1933,106.22,110.30,106.22,108.27,63800,108.27
14-Jul-1933,105.51,107.63,103.94,105.04,52300,105.04
13-Jul-1933,104.55,107.77,104.54,105.51,74500,105.51
12-Jul-1933,103.08,105.46,101.87,104.55,51900,104.55
11-Jul-1933,104.08,105.10,101.97,103.08,52400,103.08
10-Jul-1933,105.15,105.87,103.12,104.08,48400,104.08
7-Jul-1933,104.98,107.51,103.23,105.35,69700,105.35
6-Jul-1933,102.73,105.56,101.21,104.98,65400,104.98
5-Jul-1933,103.77,104.70,101.02,102.73,58000,102.73
